Sport	Service	Type	Style	y	R2	RMSE	MAE	ModelType	Date	Params
mlb	yahoo	FIFTY_FIFTY	classic	last	-.7	25.4	4.64	tpot	20210911	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	yahoo	FIFTY_FIFTY	classic	last	-.4	22.7	4.26	tpot	20210911	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	yahoo	FIFTY_FIFTY	classic	last	-2	36.9	5.3	tpot-pca	20210911	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	yahoo	FIFTY_FIFTY	classic	top	-.6	33.6	5.2	tpot	20210911	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	yahoo	FIFTY_FIFTY	classic	top	-.3	30.7	4.78	tpot	20210911	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	yahoo	FIFTY_FIFTY	classic	top	-.02	26.3	4.58	tpot-pca	20210911	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	yahoo	GPP	classic	last	-3	25.4	4.75	tpot	20210911	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	yahoo	GPP	classic	last	-3	25.4	4.75	tpot	20210911	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	yahoo	GPP	classic	last	-.3	13.3	3.05	tpot-pca	20210911	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	yahoo	GPP	classic	top	-.2	16.9	3.4	tpot	20210911	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	yahoo	GPP	classic	top	-5	14.8	3.2	tpot	20210911	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	yahoo	GPP	classic	top	-4	34.6	5.59	tpot-pca	20210911	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'

nba	draftkings	FIFTY_FIFTY	classic	last	-.09	22	4.5	tpot	202109??	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nba	draftkings	FIFTY_FIFTY	classic	last	.09	20.7	4.17	tpot	202109??	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nba	draftkings	FIFTY_FIFTY	classic	last	-.04	22	4.3	tpot-pca	202109??	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nba	draftkings	FIFTY_FIFTY	classic	top	-1.4	41	5.6	tpot	202109??	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nba	draftkings	FIFTY_FIFTY	classic	top	-1	37	5.6	tpot	20210912	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nba	draftkings	FIFTY_FIFTY	classic	top	-.12	28	5.12	tpot-pca	202109??	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nba	draftkings	GPP	classic	last	-.06	18	3.8	tpot	20210912	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nba	draftkings	GPP	classic	last	-1	26	4.7	tpot	20210912	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nba	draftkings	GPP	classic	last	-.01	18	3.9	tpot-pca	20210912	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nba	draftkings	GPP	classic	top	.42	18.4	3.71	tpot	20210912	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nba	draftkings	GPP	classic	top	-.4	29	4.8	tpot	20210912	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nba	draftkings	GPP	classic	top	.42	18.3	3.8	tpot-pca	20210912	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nba	fanduel	FIFTY_FIFTY	classic	last	-.01	31	4.7	tpot	20210912	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nba	fanduel	FIFTY_FIFTY	classic	last	-.5	39	5.5	tpot	20210912	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nba	fanduel	FIFTY_FIFTY	classic	last	.28	26.33	4.34	tpot-pca	20210912	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
